,event_id,group_name,year,month,day,region,country,provstate,city,target,total_killed
72,201912270017,Boko Haram,Village,2019,12,27,Sub-Saharan Africa,Nigeria,Borno,Yamarkumi,0
73,201912300002,Taliban,Checkpoint,2019,12,30,South Asia,Afghanistan,Jawzjan,Haidar Abad,21
74,201912270012,Taliban,Convoy,2019,12,27,South Asia,Afghanistan,Samangan,Dara-i-Sufi Payin district,1
75,201912310005,Unknown,Telecommunications Tower,2019,12,31,South Asia,Nepal,Province 3,Shaktikhor,0
76,201912270020,Boko Haram,Village,2019,12,27,Sub-Saharan Africa,Nigeria,Borno,Buratai,0
77,201912310007,Unknown,Telecommunications Tower,2019,12,31,South Asia,Nepal,Province 1,Baijanathpur,0
78,201912290005,Maoists,Alleged Informant: Boti Lekam,2019,12,29,South Asia,India,Chhattisgarh,Chihka,0
79,201912310006,Unknown,Telecommunications Tower,2019,12,31,South Asia,Nepal,Province 2,Gajura,0
80,201912270025,Allied Democratic Forces (ADF),Soldiers,2019,12,27,Sub-Saharan Africa,Democratic Republic of the Congo,Ituri,Teturi,2
81,201912310004,Communist Party of Nepal - Maoist (CPN-Maoist-Chand),Telecommunication Tower,2019,12,31,South Asia,Nepal,Province 2,Piluwa,0
82,201912310027,Islamic State of Iraq and the Levant (ISIL),Post,2019,12,30,Middle East & North Africa,Iraq,Diyala,Nada,1
83,201912310019,Islamic State of Iraq and the Levant (ISIL),Civilians,2019,12,31,Middle East & North Africa,Syria,Raqqah,Tabqah,3
84,201912300009,Unknown,Civilians,2019,12,30,South Asia,Afghanistan,Faryab,Qwzil Qishlaq,2
85,201912290021,Unknown,Unknown,2019,12,29,Southeast Asia,Philippines,Samar,Beri,0
86,201912290007,Taliban,Base,2019,12,29,South Asia,Afghanistan,Takhar,Lalah Gozar,27
87,201912310031,Unknown,West Darfur Legislative Council Building,2019,12,31,Sub-Saharan Africa,Sudan,West Darfur,El Geneina,2
88,201912290010,Unknown,Village,2019,12,29,Sub-Saharan Africa,Mali,Mopti,Darsalam,1
89,201912310026,Separatists,Alleged Informant: Godlove Abanda Ndi,2019,12,31,Sub-Saharan Africa,Cameroon,North-West,Njap,1
90,201912300032,Taliban,Security Post,2019,12,30,South Asia,Afghanistan,Kandahar,Miya Nishin district,6
91,201912280022,Unknown,Church,2019,12,28,Sub-Saharan Africa,Sudan,Blue Nile,Baw,0
92,201912290013,Houthi extremists (Ansar Allah),Parade,2019,12,29,Middle East & North Africa,Yemen,Ad Dali,Dali,7
93,201912270015,Taliban,Civilian,2019,12,27,South Asia,Afghanistan,Helmand,Washer district,1
94,201912310030,Unknown,West Darfur Police Headquarters,2019,12,31,Sub-Saharan Africa,Sudan,West Darfur,El Geneina,2
95,201912290014,Kataib Hezbollah,Camp Taji,2019,12,29,Middle East & North Africa,Iraq,Saladin,Taji,0
96,201912270026,Allied Democratic Forces (ADF),Soldiers,2019,12,27,Sub-Saharan Africa,Democratic Republic of the Congo,Ituri,Malutu,2
97,201912310024,Unknown,Civilian: Hayder Manibpal,2019,12,31,Southeast Asia,Philippines,North Cotabato,Inug-ug,0
98,201912310012,Taliban,Outpost,2019,12,31,South Asia,Afghanistan,Faryab,Gurziwan district,4
99,201912310021,Unknown,Bangaray Chair: Abdullah Nilong II,2019,12,31,Southeast Asia,Philippines,South Cotabato,Polomolok,1
